"","upper","mean","lower","Pop"
"PCASimilarity","0.4755183","0.4460290","0.4165397","cp.gen.hyb"
"PCASimilarity1","0.8387516","0.8325414","0.8263312","cp.ll.hyb"
"PCASimilarity2","0.4651786","0.4317318","0.3982849","cp.M.hyb"
"PCASimilarity3","0.4863725","0.4619201","0.4374678","cp.P.hyb"
"PCASimilarity4","0.5993418","0.5772897","0.5552376","ll.gen.hyb"
"PCASimilarity5","0.5439356","0.5267951","0.5096546","ll.M.hyb"
"PCASimilarity6","0.5883047","0.5614341","0.5345635","ll.P.hyb"
"PCASimilarity7","0.6246999","0.6073539","0.5900079","ssi.gen.carb"
"PCASimilarity8","0.6229555","0.6053136","0.5876718","ssi.gen.rad"
"PCASimilarity9","0.7219742","0.7072682","0.6925623","ssi.rad.carb"
